latitude,longitude,depth,mag,time
54.3008,-159.6594,37.6,3.6,1668759348858
31.62771827,-103.9838138,7.661193848,2.5,1668759159614
36.7471667,-121.4518333,7.25,0.81,1668759005150
19.1313323974609,-155.5,11.1800003051758,1.76999998,1668758592960
54.3596,-164.5315,15,1.4,1668758552456
35.7056667,-117.5168333,6.87,0.63,1668758459210
58.219,-155.199666666667,4.32,-0.01,1668758431620
62.2257,-149.9913,20.7,0.9,1668758108637
61.4321,-149.7174,33.6,1.2,1668757982552
61.3127,-146.8777,0,1.1,1668757678430
63.0094,-150.9998,130.3,1.6,1668757503098
64.4857,-147.2811,5.7,0.3,1668757497087
46.199333333333335,-122.17516666666667,2.8,0.19,1668757470980
38.8393326,-122.8379974,1.77,0.86,1668757323200
60.2336,-139.764,0.8,1.1,1668757161526
31.63390937,-103.9878776,6.093005371,2.4,1668757052047
52.7902,-168.5916,62.1,1.9,1668756911474
63.1184,-150.6822,113.3,1.2,1668756816323
17.927,-66.8203333333333,13.21,2.67,1668756743230
62.8919,-151.1157,113.1,1.5,1668756393916
46.19916666666666,-122.1765,2.84,0.14,1668756361980
58.187,-155.276833333333,1.84,0,1668756339820
58.185,-155.279833333333,0.86,-0.03,1668756270680
41.616,-111.6831667,8.47,1.42,1668756222840
61.3856,-150.2109,32.4,1.1,1668756000405
37.3152,-117.9998,7,1,1668755968591
58.2426666666667,-155.166666666667,3.99,-0.45,1668755303780
32.84,-83.8606666666667,5.46,2.26,1668754462500
19.1208333333333,-155.463833333333,30.33,1.56,1668754054720
61.805,-148.8337,35.7,1.4,1668754028570
38.4847,-119.4961,7.8,1.4,1668753877896
62.4284,-151.1493,86.7,1,1668753632443
-29.7236,-177.6365,41.494,5.1,1668753425048
37.6428333,-118.8628333,4.26,0.39,1668753412890
37.6436667,-118.863,4.84,0.12,1668753297600
63.3728,-151.1522,11,0.7,1668753126829
37.6428333,-118.8638333,4.45,0.45,1668752806030
61.3945,-150.2018,40.5,0.9,1668752608853
35.0613333,-117.5495,0.54,1.68,1668752569130
36.0925,-117.8835,5.11,0.84,1668752487730
37.6395,-118.8633333,4.75,0.36,1668752225570
41.6113333,-111.687,9.27,1.38,1668752190150
37.6455,-118.8658333,5.16,-0.03,1668752157100
60.2641,-138.1227,9.3,0.8,1668752100110
33.4826,81.7097,10,4.5,1668751998603
60.1767,-150.5871,47.2,1.3,1668751993586
37.6415,-118.8613333,6.13,0.17,1668751867550
37.6415,-118.8635,4.67,0.8,1668751759020
62.2935,-151.1969,91,1.2,1668751455454
33.9695,-116.7956667,18.4,0.73,1668751282490
37.6436667,-118.8621667,4.84,0.36,1668751281420
57.8893,-156.1889,116.6,1.8,1668751159600
37.6423333,-118.8635,4.61,0.69,1668751134710
61.3828,-150.1917,39.6,1.1,1668750948686
51.8631666666667,-177.914666666667,4.64,1.19,1668750942680
51.8615,-178.03,6.58,0.9,1668750892170
38.2739,-118.329,10.3,0.6,1668750625964
59.8594,-152.1834,88.3,1.8,1668750586291
54.7446666666667,-164.103166666667,1.83,-0.02,1668750522850
